PING 207.189.30.224 (207.189.30.224) 56(84) bytes of data.
64 bytes from 207.189.30.224: icmp_seq=85 ttl=38 time=51.3 ms
64 bytes from 207.189.30.224: icmp_seq=86 ttl=38 time=55.3 ms
64 bytes from 207.189.30.224: icmp_seq=87 ttl=38 time=51.6 ms
64 bytes from 207.189.30.224: icmp_seq=88 ttl=38 time=53.1 ms
64 bytes from 207.189.30.224: icmp_seq=89 ttl=38 time=51.7 ms
64 bytes from 207.189.30.224: icmp_seq=90 ttl=38 time=56.9 ms
64 bytes from 207.189.30.224: icmp_seq=91 ttl=38 time=53.4 ms
64 bytes from 207.189.30.224: icmp_seq=92 ttl=38 time=51.6 ms
64 bytes from 207.189.30.224: icmp_seq=93 ttl=38 time=55.4 ms
64 bytes from 207.189.30.224: icmp_seq=94 ttl=38 time=51.3 ms
64 bytes from 207.189.30.224: icmp_seq=95 ttl=38 time=52.3 ms
64 bytes from 207.189.30.224: icmp_seq=96 ttl=38 time=56.0 ms
64 bytes from 207.189.30.224: icmp_seq=97 ttl=38 time=51.9 ms
64 bytes from 207.189.30.224: icmp_seq=98 ttl=38 time=57.2 ms
64 bytes from 207.189.30.224: icmp_seq=99 ttl=38 time=51.4 ms
64 bytes from 207.189.30.224: icmp_seq=100 ttl=38 time=52.7 ms

--- 207.189.30.224 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99159ms
rtt min/avg/max/mdev = 51.233/52.468/57.229/1.565 ms
